"","ID","wc2.1_30s_bio_1","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","x","y"
"CARZO_0",1,17.6458339691162,11.7250003814697,79.2229766845703,111.242111206055,24.8999996185303,10.1000003814697,14.7999992370605,19.0666656494141,16.9833335876465,19.0666656494141,16.283332824707,14,7,0,116.151298522949,14,0,14,0,-70.63423472,-17.41171433
"CARZO_1",2,18.1166667938232,11.3333330154419,77.0975036621094,119.189170837402,25.3999996185303,10.6999998092651,14.6999998092651,19.6833324432373,18.4500007629395,19.6833324432373,16.6833343505859,11,7,0,116.57600402832,11,0,11,0,-70.65519369,-17.4268557
"CARZO_2",3,18.1166667938232,11.3333330154419,77.0975036621094,119.189170837402,25.3999996185303,10.6999998092651,14.6999998092651,19.6833324432373,18.4500007629395,19.6833324432373,16.6833343505859,11,7,0,116.57600402832,11,0,11,0,-70.65517031,-17.42694648
"CARZO_3",4,18.1166667938232,11.3333330154419,77.0975036621094,119.189170837402,25.3999996185303,10.6999998092651,14.6999998092651,19.6833324432373,18.4500007629395,19.6833324432373,16.6833343505859,11,7,0,116.57600402832,11,0,11,0,-70.65517651,-17.42699727
"CARZO_4",5,17.6458339691162,11.7250003814697,79.2229766845703,111.242111206055,24.8999996185303,10.1000003814697,14.7999992370605,19.0666656494141,16.9833335876465,19.0666656494141,16.283332824707,14,7,0,116.151298522949,14,0,14,0,-70.63407658,-17.41181027
"CARZO_5",6,17.6458339691162,11.7250003814697,79.2229766845703,111.242111206055,24.8999996185303,10.1000003814697,14.7999992370605,19.0666656494141,16.9833335876465,19.0666656494141,16.283332824707,14,7,0,116.151298522949,14,0,14,0,-70.63431898,-17.41205435
"CARZO_6",7,17.6458339691162,11.7250003814697,79.2229766845703,111.242111206055,24.8999996185303,10.1000003814697,14.7999992370605,19.0666656494141,16.9833335876465,19.0666656494141,16.283332824707,14,7,0,116.151298522949,14,0,14,0,-70.63525717,-17.41261502
"CARZO_7",8,17.6458339691162,11.7250003814697,79.2229766845703,111.242111206055,24.8999996185303,10.1000003814697,14.7999992370605,19.0666656494141,16.9833335876465,19.0666656494141,16.283332824707,14,7,0,116.151298522949,14,0,14,0,-70.63605085,-17.41303923
"CARZO_8",9,17.6458339691162,11.7250003814697,79.2229766845703,111.242111206055,24.8999996185303,10.1000003814697,14.7999992370605,19.0666656494141,16.9833335876465,19.0666656494141,16.283332824707,14,7,0,116.151298522949,14,0,14,0,-70.63611078,-17.41302062
"CARZO_9",10,17.6458339691162,11.7250003814697,79.2229766845703,111.242111206055,24.8999996185303,10.1000003814697,14.7999992370605,19.0666656494141,16.9833335876465,19.0666656494141,16.283332824707,14,7,0,116.151298522949,14,0,14,0,-70.63613559,-17.41308466
"CARZO_10",11,17.904167175293,11.5250005722046,77.8716201782227,115.590553283691,25.2000007629395,10.3999996185303,14.8000011444092,19.3999996185303,18.216667175293,19.3999996185303,16.5,12,7,0,118.705131530762,12,0,12,0,-70.64918789,-17.42404056
"CARZO_11",12,17.4624996185303,11.8249998092651,79.8986434936523,109.401802062988,24.7000007629395,9.89999961853027,14.8000011444092,18.8666667938232,16.783332824707,18.8666667938232,16.1333332061768,15,8,0,121.531562805176,15,0,15,0,-70.65149576,-17.42458127
"CARZO_12",13,17.4624996185303,11.8249998092651,79.8986434936523,109.401802062988,24.7000007629395,9.89999961853027,14.8000011444092,18.8666667938232,16.783332824707,18.8666667938232,16.1333332061768,15,8,0,121.531562805176,15,0,15,0,-70.65151496,-17.42454691
"CARZO_13",14,17.4624996185303,11.8249998092651,79.8986434936523,109.401802062988,24.7000007629395,9.89999961853027,14.8000011444092,18.8666667938232,16.783332824707,18.8666667938232,16.1333332061768,15,8,0,121.531562805176,15,0,15,0,-70.65152686,-17.4245418
"CARZO_14",15,17.4624996185303,11.8249998092651,79.8986434936523,109.401802062988,24.7000007629395,9.89999961853027,14.8000011444092,18.8666667938232,16.783332824707,18.8666667938232,16.1333332061768,15,8,0,121.531562805176,15,0,15,0,-70.65158964,-17.42452227
"CARZO_15",16,17.4624996185303,11.8249998092651,79.8986434936523,109.401802062988,24.7000007629395,9.89999961853027,14.8000011444092,18.8666667938232,16.783332824707,18.8666667938232,16.1333332061768,15,8,0,121.531562805176,15,0,15,0,-70.65171638,-17.42455026
"CARZO_16",17,17.4624996185303,11.8249998092651,79.8986434936523,109.401802062988,24.7000007629395,9.89999961853027,14.8000011444092,18.8666667938232,16.783332824707,18.8666667938232,16.1333332061768,15,8,0,121.531562805176,15,0,15,0,-70.65180648,-17.42456124
"CARZO_17",18,17.4624996185303,11.8249998092651,79.8986434936523,109.401802062988,24.7000007629395,9.89999961853027,14.8000011444092,18.8666667938232,16.783332824707,18.8666667938232,16.1333332061768,15,8,0,121.531562805176,15,0,15,0,-70.65182718,-17.42460089
"CARZO_18",19,17.4624996185303,11.8249998092651,79.8986434936523,109.401802062988,24.7000007629395,9.89999961853027,14.8000011444092,18.8666667938232,16.783332824707,18.8666667938232,16.1333332061768,15,8,0,121.531562805176,15,0,15,0,-70.65180279,-17.42460215
"CARZO_19",20,17.4624996185303,11.8249998092651,79.8986434936523,109.401802062988,24.7000007629395,9.89999961853027,14.8000011444092,18.8666667938232,16.783332824707,18.8666667938232,16.1333332061768,15,8,0,121.531562805176,15,0,15,0,-70.65195342,-17.42470616
"CARZO_20",21,17.4624996185303,11.8249998092651,79.8986434936523,109.401802062988,24.7000007629395,9.89999961853027,14.8000011444092,18.8666667938232,16.783332824707,18.8666667938232,16.1333332061768,15,8,0,121.531562805176,15,0,15,0,-70.65198912,-17.4246744
"CARZO_21",22,18.1166667938232,11.3333330154419,77.0975036621094,119.189170837402,25.3999996185303,10.6999998092651,14.6999998092651,19.6833324432373,18.4500007629395,19.6833324432373,16.6833343505859,11,7,0,116.57600402832,11,0,11,0,-70.65244158,-17.42502426
"CARZO_22",23,18.1166667938232,11.3333330154419,77.0975036621094,119.189170837402,25.3999996185303,10.6999998092651,14.6999998092651,19.6833324432373,18.4500007629395,19.6833324432373,16.6833343505859,11,7,0,116.57600402832,11,0,11,0,-70.6523757,-17.42502099
"CARZO_23",24,18.1166667938232,11.3333330154419,77.0975036621094,119.189170837402,25.3999996185303,10.6999998092651,14.6999998092651,19.6833324432373,18.4500007629395,19.6833324432373,16.6833343505859,11,7,0,116.57600402832,11,0,11,0,-70.65250888,-17.42534906
"CARZO_24",25,18.1166667938232,11.3333330154419,77.0975036621094,119.189170837402,25.3999996185303,10.6999998092651,14.6999998092651,19.6833324432373,18.4500007629395,19.6833324432373,16.6833343505859,11,7,0,116.57600402832,11,0,11,0,-70.65239942,-17.42521076
"CARZO_25",26,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66004271,-17.4286439
"CARZO_26",27,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66003785,-17.42866754
"CARZO_27",28,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.65980022,-17.42914782
"CARZO_28",29,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.65976334,-17.42914162
"CARZO_29",30,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.65974238,-17.42913801
"CARZO_30",31,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.65976133,-17.4291329
"CARZO_31",32,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.65976032,-17.42913231
"CARZO_32",33,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66307042,-17.43075916
"CARZO_33",34,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66385237,-17.43050938
"CARZO_34",35,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66384021,-17.43050862
"CARZO_35",36,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66486716,-17.43141529
"CARZO_36",37,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66487588,-17.43145393
"CARZO_37",38,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66488158,-17.43149115
"CARZO_38",39,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66491226,-17.43148981
"CARZO_39",40,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66532766,-17.43192005
"CARZO_40",41,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66537913,-17.43196179
"CARZO_41",42,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66597324,-17.43239405
"CARZO_42",43,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66599252,-17.43240771
"CARZO_43",44,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66596477,-17.43245943
"CARZO_44",45,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66603929,-17.43243805
"CARZO_45",46,18.1625003814697,11.3249998092651,77.0408172607422,121.694923400879,25.5,10.8000001907349,14.6999998092651,19.75,18.5,19.75,16.7000007629395,11,7,0,116.57600402832,11,0,11,0,-70.66600207,-17.43235205
