CODE;X_LONG;Y_LAT
CARZO_0;-70.63423472;-17.41171433
CARZO_1;-70.65519369;-17.4268557
CARZO_2;-70.65517031;-17.42694648
CARZO_3;-70.65517651;-17.42699727
CARZO_4;-70.63407658;-17.41181027
CARZO_5;-70.63431898;-17.41205435
CARZO_6;-70.63525717;-17.41261502
CARZO_7;-70.63605085;-17.41303923
CARZO_8;-70.63611078;-17.41302062
CARZO_9;-70.63613559;-17.41308466
CARZO_10;-70.64918789;-17.42404056
CARZO_11;-70.65149576;-17.42458127
CARZO_12;-70.65151496;-17.42454691
CARZO_13;-70.65152686;-17.4245418
CARZO_14;-70.65158964;-17.42452227
CARZO_15;-70.65171638;-17.42455026
CARZO_16;-70.65180648;-17.42456124
CARZO_17;-70.65182718;-17.42460089
CARZO_18;-70.65180279;-17.42460215
CARZO_19;-70.65195342;-17.42470616
CARZO_20;-70.65198912;-17.4246744
CARZO_21;-70.65244158;-17.42502426
CARZO_22;-70.6523757;-17.42502099
CARZO_23;-70.65250888;-17.42534906
CARZO_24;-70.65239942;-17.42521076
CARZO_25;-70.66004271;-17.4286439
CARZO_26;-70.66003785;-17.42866754
CARZO_27;-70.65980022;-17.42914782
CARZO_28;-70.65976334;-17.42914162
CARZO_29;-70.65974238;-17.42913801
CARZO_30;-70.65976133;-17.4291329
CARZO_31;-70.65976032;-17.42913231
CARZO_32;-70.66307042;-17.43075916
CARZO_33;-70.66385237;-17.43050938
CARZO_34;-70.66384021;-17.43050862
CARZO_35;-70.66486716;-17.43141529
CARZO_36;-70.66487588;-17.43145393
CARZO_37;-70.66488158;-17.43149115
CARZO_38;-70.66491226;-17.43148981
CARZO_39;-70.66532766;-17.43192005
CARZO_40;-70.66537913;-17.43196179
CARZO_41;-70.66597324;-17.43239405
CARZO_42;-70.66599252;-17.43240771
CARZO_43;-70.66596477;-17.43245943
CARZO_44;-70.66603929;-17.43243805
CARZO_45;-70.66600207;-17.43235205
CARZO_46;-70.66619938;-17.43243713
CARZO_47;-70.66620483;-17.43243956
CARZO_48;-70.66620659;-17.43243998
CARZO_49;-70.66622235;-17.43247418
CARZO_50;-70.66650616;-17.43270158
